base_addr,cache_line,page_addr,confidence^page_addr,curr_sig^sig_delta,ip_1^ip_2^ip_3,ip^depth,ip^sig_delta,confidence,
13,12,,2,6,,-1,,,
,6,9,1,1,,,,15,
,4,,1,7,,1,,12,
,4,,2,,,,,15,
,-1,10,1,,1,1,,12,
,6,,4,-2,8,0,,15,
,3,,2,,,,,14,
,5,,0,,,-1,,14,
5,6,,2,0,1,1,,15,
,4,,3,,,1,1,14,
,5,,0,,,1,1,15,
,5,,1,-4,,1,1,14,
,2,7,0,1,,1,1,14,
,3,,3,,,,1,14,
,-1,,11,,,,,15,
,2,11,1,,,,,12,
,0,,-1,-2,,,,11,
,3,,2,0,,,,15,
,-1,,0,,,,,11,
,2,,1,,,,,13,
,0,,1,,11,,,14,
,-3,,-1,,,,,14,
,2,,1,-6,,,,15,
,1,7,-1,,,,,12,
,0,,2,4,,-1,-1,13,
,1,,-1,-3,,-1,-1,15,
,5,7,2,,,-1,,15,
,0,,5,5,,,,14,
,2,,0,,,,,15,
,1,,2,-2,,,,12,
,2,,0,11,,,,14,
,1,,0,,,,-1,15,
,0,,1,,,,,15,
,-1,,1,,,,,14,
,1,11,,,,,,15,
,0,,9,15,,,,15,
,-2,,4,,,,,14,
,1,7,,,,,,14,
,-1,,0,,,,,15,
,0,,1,,,,,12,
-1,0,5,3,2,,,,14,
,0,,3,,,,,15,
,-1,,0,-2,,,,13,
,0,,1,,,,,14,
,1,,4,,1,,,15,
,0,6,0,-2,,,,14,
,-2,,0,,,,,14,
,-1,,2,,,,,11,
3,0,8,1,-1,,1,,10,
,-2,,3,,,1,1,11,
,2,,1,,,1,-5,12,
,1,,-1,-7,,,1,15,
,0,,2,,,,10,9,
,0,,-2,,,,7,12,
,2,,3,,11,,3,15,
,0,,1,,,,4,15,
,,9,1,,,,5,15,
,,,8,,,,3,15,
,,,4,,,,6,12,
,,9,1,,,,-3,15,
,,,1,,,,13,12,
,,,1,3,,,,14,
,,,1,,,,,14,
,,,-1,,,,7,15,
13,10,,-1,9,,1,,14,
,2,,,,,,,14,
1,4,,,1,,,,14,
,2,,0,1,,-1,,,
,3,,1,,,,,,
,5,,1,2,,,,-1,
,8,8,0,,,1,,3,
,2,,5,-4,1,,1,1,
2,4,,,11,,,,3,
,5,,0,2,,,,-1,
,6,,2,0,,,,,
,4,,1,-7,,,,4,
,6,,,,,,,2,
,3,,0,,,,,2,
,3,,1,-2,,,,0,
,1,,,0,,,,,
,5,,4,9,,,,8,
,3,5,1,,,,,9,
,2,,0,2,,,,,
,1,,2,,,,,14,
,1,,1,,3,,,14,
,0,,-1,4,,,,15,
,1,,0,,1,,,8,
,1,,1,15,,,,14,
,2,,0,-4,,,,15,
,-1,,0,,3,,,,
,2,,0,,,,,15,
,-1,,-1,-4,,,,15,
,-2,2,,2,,,,15,
,-1,,3,1,,,,15,
,-1,,1,,,,,,
,2,,-1,1,,,,,
,0,,,,,,,,
,-1,,-1,-1,,,,,
,0,,0,,,,,,
,0,,,,,,,,
,-4,,0,,,,,,
,-3,,1,,8,,,,
,0,,7,,,,,,
,0,11,-1,,6,,,,
15,1,,0,,,,,,
,1,,0,,,,,,
,-1,,1,,9,,,,
,-1,,0,-1,,,,,
,1,,0,,,,,,
,1,,0,,,,,,
,1,,,,,,,,
,-2,,1,,,,,,
,-1,,1,-1,,,,,
,-1,,0,,,,,,
,0,4,,-16,,,,,
,0,,3,15,,,,,
,1,,1,,,,,,
,1,,1,,,7,,,
,1,,1,,,,,,
,0,,1,,,,,,
,,,1,0,,7,,,
,1,,0,,,6,,,
,0,,,,,13,,,
,,,1,,,10,,,
,1,,7,,,8,,,
,,10,,,,3,,,
,,,2,,,0,,,
,,,0,,,-5,,,
14,12,,,-1,,-2,-1,,
,4,,0,-3,,,0,,
,6,,,,,-1,,,
-1,5,,0,9,,-1,-1,,
,4,,1,,-2,,-1,,
,4,,,,,,,,
-5,3,,0,6,,-1,,,
,2,,,,,-1,-2,,
-3,1,11,,-2,,,,,
,4,,6,-2,,,,,
,1,,1,,,,,,
,4,,1,-4,,,,,
,1,,,-3,,,,,
,-1,,1,0,,,1,,
,0,,,0,,,,,
,3,,0,-3,,,,,
,0,,1,-1,14,,,,
,2,,1,1,,,,,
,1,,6,,,,,,
,3,7,,,,,,,
,0,,1,,,,,,
,3,,-1,,,,,,
,1,,0,,,,,,
,1,,,,,,,,
,1,,,,,,,,
,1,,,,,,,,
,2,,,,,,,,
,1,,0,,,,,,
,0,,1,,,,,,
,-1,,0,,,,,,
,2,9,1,,,,,,
,1,,5,,,,,,
,1,,0,,,,,,
,-1,,,9,,,,,
,0,,,,,,,,
,-2,,,,,,,,
,-1,,1,,,,,,
,2,,1,,,,,,
,0,,0,,,,,,
,-1,,0,-3,,,,,
,0,,5,-6,,,,,
,-1,9,1,0,,,,,
,-1,,0,,,,,,
,0,,2,-11,,,,,
,0,,-1,1,,,,,
,-1,,0,-1,,,,,
,-1,,,1,,,,,
,1,,1,,,,,,
,-1,,,-1,,,,,
,2,,0,,,,,,
,1,,,,,,,,
,0,,0,,,,,,
,0,9,,,,,,,
,-1,,6,,,,,,
,1,,0,-16,,,,,
,0,,1,-1,,,,,
,,,,-1,,,,,
,,,1,-2,-14,,,,
,-1,,1,,,,,,
,0,,0,,,,,,
,,,0,-4,,,,,
,-1,,2,,,,,,
,-3,,5,,,,,,
,,9,,-1,,,,,
13,14,,5,,,0,,,
,5,9,,,,1,,,
,9,,0,,,1,,,
,2,,3,,,2,,,
,6,,0,,,-1,1,,
,3,,-1,,,1,,,
,7,,1,,,-1,,,
,7,,0,,0,,-1,,
,7,,2,15,,,,,
,2,,1,,,,,,
,5,7,,0,,,,,
,3,,5,2,,,-1,,
,1,,0,,,0,-1,,
,5,,0,,,,6,,
,4,,,-1,,2,0,,
,5,,0,,,1,-2,,
,0,,0,5,,,,,
,0,,,3,,,,,
,0,,,,,,,,
,0,,0,,,,,,
,0,,1,,,,,,
,-1,5,0,,,,,,
,1,,2,,,,,,
,-2,,-1,,,,,,
,2,,,,,,,,
,1,,1,,,,,,
,2,,2,,,,,,
,-2,,0,-1,,,,,
,1,,,,,,,,
,1,,0,2,,-1,,,
,1,,,,,-1,,,
,0,,1,,,-1,,,
,3,6,,,,,,,
,-1,,6,2,,,,,
,0,,-1,1,,,,,
,1,,1,,,,,,
,-2,,1,,,,,,
,3,,-1,,,,,,
,-2,,1,,,,,,
,0,,,1,,,,,
,0,,1,0,,,,,
,-2,,1,,,,,,
,-2,,3,,,,,,
,1,9,0,14,,,,,
,-2,,0,,,,,,
,-3,,1,,,,,,
,0,,0,,,,,,
,0,,1,,,,,,
,-2,,,,,,,,
,3,,,,,,,,
,0,,3,,,,,,
,-2,,1,,,,,,
,0,,1,,,,,,
,-1,,0,,,,,,
,1,7,0,,,,,,
,1,,6,,,,,,
,-1,,-1,,,,,,
,,,1,13,,,,,
,1,,0,,,,,,
,,,0,,,,,,
,,,0,,,,,,
,,,,9,-2,,,,
,,,-1,-1,,,,,
,,,0,,,,,,
15,9,,5,1,,,,,
,3,6,1,,,1,,,
,2,,0,,15,,,,
,4,,3,,,,,,
,3,,-1,,,,,,
,4,,0,,,,0,,
,5,,,-16,,,1,,
,5,,1,,,1,-2,,
,6,,-1,,,,,,
,6,,1,,,,,,
,3,,0,,,,,,
,1,,0,,,,,,
,5,14,,-5,,,,,
,3,,9,-1,,,,,
,0,,1,-1,,,1,,
,1,,0,,,,,,
,0,,,,,,,,
,2,,0,-2,,,,,
,1,,0,,,,,,
,0,,1,,,,,,
,0,,2,,,,,,
,0,,1,,,,,,
,3,,5,,,,,,
,0,12,,,,,,,
,0,,,,,2,,,
,1,,0,1,,-2,,,
,0,,0,,,10,,,
,0,,-1,2,,6,,,
,0,,0,,,,,,
,0,,0,,,-1,11,,
,-1,,0,,,,-7,,
,2,,0,11,,-1,,,
,-3,,1,,,14,,,
,0,,2,,,15,,,
,-1,7,,-4,,-16,,,
,-1,,5,,,-13,,,
,1,,,,,-16,,,
,-1,,0,,,-16,,,
,2,,0,-10,1,-16,-4,,
,2,,1,,,-7,,,
,1,,0,,,-1,-6,,
,-1,,0,,,,,,
,-1,,0,,,,-4,,
,0,,0,,,,,,
,-1,,4,-2,,,-3,,
,0,6,-1,,,,15,,
,-1,,0,4,,,,,
,1,,1,,,,,,
,0,,0,-1,,,15,,
,1,,,,,,11,,
,1,,0,,,,,,
,1,,1,-2,-1,,,,
,-1,,2,,,1,1,,
,1,,,,,1,1,,
,0,,0,,,,11,,
,0,,0,,,,,,
,,7,0,1,,15,-1,,
,0,,8,,,9,,,
,,,1,,,9,14,,
,,,0,,,10,13,,
,0,,,,,13,0,,
,,,0,,,3,15,,
,,,0,,,13,-2,,
,,,0,,,13,-3,,
12,8,,1,,,1,1,,
,3,,3,,,0,,,
,5,,3,,,1,,,
,4,10,1,,,,,,
,3,,1,,,-1,,,
,3,,,,,,,,
,1,,1,-14,,,,,
,4,,-1,,0,,,,
,4,,0,-3,,-3,,,
,4,,1,,,,,,
,4,,0,,1,-1,,,
,1,,0,,,,,,
,0,,0,-1,,-2,,,
,1,,0,11,,-1,,,
,3,9,,,,3,,,
,2,,9,,,-2,1,,
,1,,1,-2,,,-1,,
,0,,,15,,,,,
,1,,,,,,,,
,1,,1,15,,,,,
,0,,0,,,,,,
,1,,2,,,-2,,,
,-2,,0,,,,,,
,-1,,0,,,,,,
,0,,3,0,,13,,,
,0,11,0,-1,,10,,,
,2,,1,1,,-15,,,
,2,,1,15,,14,,,
,0,,-1,,,,-1,,
,0,,0,12,,,,,
,0,,0,,,,,,
,-2,,2,,,,-1,,
,0,,0,,,,,,
,0,,0,,,,,,
,1,,-1,,,,,,
,1,,0,,,,,,
,0,9,-1,,0,,,,
,2,,8,,,,,,
,-2,,-2,,,,,,
,0,,2,14,,,,,
,0,,1,-2,,-1,,,
,-1,,0,,,-2,,,
,0,,3,,,-1,-5,,
,0,,,,,-6,2,,
,-1,,0,,,,-2,,
,0,,1,12,,-5,,,
,0,,3,-1,,-5,,,
,-2,6,0,,,-3,,,
,1,,-1,6,,,,,
,-1,,1,,,,,,
,0,,0,,,,,,
,2,,-1,,,,,,
,0,,1,,,,,,
,1,,0,,,,,,
,0,,,,,,,,
,-1,,1,15,,,,,
,-1,,3,,,,,,
,-1,,2,,,,,,
,0,7,0,,,,,,
,1,,7,,,,,,
,1,,5,2,,,,,
,,8,,,,,,,
,,,0,,,,,,
,,,-1,,,,,,
15,11,,1,,,,,,
,4,,0,,,,1,,
,4,,2,,,,6,,
,4,,1,,,1,1,,
,3,,4,,,1,8,,
,2,7,-1,,,7,13,,
,5,,1,,,,3,,
,2,,-1,,,,-4,,
,5,,,,5,6,1,,
,4,,1,,,-2,,,
,7,,,,,11,11,,
,8,,0,,,12,1,,
,3,,,,,2,-3,,
,3,,,,,3,,,
,0,,1,,,-2,-2,,
,4,,,,,2,,,
,2,8,1,,,,,,
,2,,6,,,,,,
,3,,1,,,,,,
,6,,0,,,,,,
,0,,-1,,,,-1,,
,1,,0,,,,,,
,3,,0,,,,,,
,2,,0,,,,,,
,1,,0,,,,,,
,3,,2,3,,,,,
,2,,9,,,,,,
,0,11,1,,,,,,
,0,,,,,,,,
,3,,0,,,,1,,
,2,,0,,,,,,
,2,,0,,,,,,
,1,,,,,1,1,,
,0,,,,,,2,,
,0,,,,,1,1,,
,1,,2,,,-1,10,,
,-1,,2,,,1,,,
,0,,1,-1,,1,0,,
,1,13,0,,,,,,
,0,,6,,,11,,,
,0,,0,,,-2,,,
,1,,0,,,,,,
,-1,,,,4,,0,,
,0,,1,,,-3,,,
,0,,0,,,1,2,,
,-1,,0,,,1,1,,
,2,,0,,,0,,,
,3,,,,,5,1,,
,1,,6,,,,,,
,4,6,0,,,,,,
,2,,0,,,,,,
,0,,0,,,,,,
,2,,1,,,,-3,,
,2,,,,,,,,
,-1,,0,,,,,,
,0,,,,,,,,
,1,,0,,,,1,,
,,,0,,,,,,
,,,,,,,,,
,0,,,,-1,,,,
,,8,0,,,,-1,,
,,,5,,,,,,
,,,1,,,,5,,
,,,-1,,,,,,
15,13,14,,,,,,,
,6,,5,,,1,,,
,5,,2,,,,,,
,5,,0,,,,,,
,4,,2,,,,1,,
,4,,1,,,1,,,
,5,,1,,,,,,
,3,,0,,,,,,
,6,,,,15,,,,
,0,,2,,,,,,
,6,,3,,,,,,
,7,13,,-2,,,,,
,4,,,,,,1,,
,4,,2,,,,,,
,0,,1,,14,,,,
,3,,-1,,,,,,
,2,,1,,,,,,
,2,,,,,,,,
,2,,1,,,,,,
,4,,,,,,,,
,2,,-1,,,,,,
,1,,-1,,,,,,
,-1,,,,,,,,
,5,,,,1,,,,
,2,,0,1,,,,,
,1,,-1,1,,,,,
,-1,,,-2,,,,,
,1,,,,,,,,
,1,,,,,,,,
,-2,,1,-1,,,,,
,0,,1,,,,,,
,-2,,,,,,,,
,1,,,,,,-3,,
,0,,,,,,,,
,-3,,,,,,2,,
,1,,,,,,1,,
,1,,1,,,,,,
,0,,,,,,1,,
,-1,,1,,,,,,
,0,,2,,-1,,,,
,0,,,,,,,,
,0,,0,,,,,,
,0,,,,,,,,
,-2,,,,,,,,
,0,,1,,,,,,
,0,,,,,,1,,
,-1,,,,,-2,,,
,0,,,,4,-2,,,
,-3,,,,,3,,,
,2,,,,4,0,,,
,0,,,,,1,,,
,0,,,-3,,1,,,
,1,,2,,,-7,-3,,
,1,,,,,-3,,,
,0,,,,,1,,,
,1,,,,15,-2,-6,,
,0,,,,14,,,,
,,,,,,,,,
,0,,,,,,,,
,,,,,,,,,
,,,,,,,-2,,
,,,,,,,-3,,
,,,1,,,,,,
,,,1,,,,,,
14,13,,0,3,,-1,-16,,
,5,,0,,,1,,,
,5,,,-7,,-1,,,
,5,,1,2,,-1,-2,,
,6,,0,-1,,-2,-1,,
,8,,,-2,,,0,,
-3,5,,,,,2,,,
,5,,,9,,-1,2,,
,5,7,,15,,,,,
,5,,7,-1,,,,,
,3,,1,1,,,,,
,5,,0,1,,,,,
,1,,,0,,,,,
,5,,0,-6,,,,,
,3,,0,-2,-3,,,,
,3,,,0,5,,-16,,
1,3,,,2,8,4,15,,
,1,,,-1,,6,15,,
,0,,,-2,,2,,,
,0,,0,0,,-2,,,
,1,,0,,,14,,,
,-1,,,-1,,15,,,
,1,,,1,,2,,,
,-1,,-1,10,0,8,15,,
,2,,,-3,1,,,,
,1,,,0,,,1,,
,-1,,0,1,,3,1,,
,0,,,-6,,,,,
,1,,,1,,,,,
,1,,,0,,,,,
,1,,,2,,,1,,
,1,,,-3,,,,,
14,0,,,-1,10,,,,
,0,,1,-2,,,,,
,-1,,,-4,,,,,
,0,,,0,,,,,
,0,,,-2,,,,,
,0,,1,-1,,,,,
,-2,,,-2,,,,,
,1,,,8,,,,,
,-2,,5,3,,-4,-4,,
,0,12,,-2,,-4,-7,,
,-1,,1,0,,-15,15,,
,0,,1,3,,14,-11,,
,1,,-1,0,,,,,
,1,,0,2,,-1,,,
,-1,,1,6,,,-2,,
,0,,,-1,1,-2,-4,,
,-1,,,-2,,,,,
,-2,,,1,,,,,
,3,,,0,1,,,,
,0,,,0,,,,,
,0,,,0,,,,,
,2,,0,0,,,,,
,0,,0,-4,,,-16,,
,1,,,-1,,,,,
,0,,,-2,,,,,
,0,,,-5,,,,,
,1,,1,6,,,,,
,-1,,,-1,,,,,
,1,,,-1,,,,,
,,,,1,,,,,
,-1,,,14,,,,,
,,,,-2,,,,,
15,10,,,15,1,0,-2,,
,5,,,15,,-2,-1,,
,5,,,10,,-2,1,,
,4,,,14,,,-2,,
,5,,,13,,-2,,,
,5,,,6,,0,14,,
,6,,,15,,-1,4,,
,2,,,-2,,-1,0,,
,7,,,15,,,4,,
,3,,,4,,,4,,
,5,,-1,15,,,14,,
,4,,,15,,,9,,
,3,,,15,,,,,
,4,,,14,15,,,,
,4,,,15,,,-4,,
,2,,,15,,,,,
,4,,,3,,-14,,,
,3,,,0,4,14,14,,
,1,,,,4,14,-9,,
,0,,,-1,,13,-1,,
,0,,0,-5,14,5,,,
,2,,0,5,,1,,,
,0,,,-1,,-8,,,
,0,,,,,15,-9,,
,-2,,,,,,-1,,
,0,,,-5,,1,13,,
,0,,,,,1,15,,
,-2,,,0,,1,14,,
,-1,,,1,,-9,-3,,
,-3,,,1,,-3,15,,
,-1,,,1,,-2,-3,,
,1,,,3,,1,-6,,
,-1,,,6,,,,,
,1,,,,,,,,
,-1,,,,,,,,
,0,,,10,,,,,
,-2,,,,,,,,
,-3,,,,,,,,
,-1,,,,,,,,
,0,,,,,,,,
,-1,,,,,,,,
,-1,,,,,,,,
,1,,,2,,,-3,,
,1,,,-4,,,,,
,-2,,,3,,,,,
,2,,,6,,,,,
,-1,,,,,,,,
,1,,,,,,,,
,0,,,,,-5,,,
,0,,0,,,0,,,
,0,,,,15,4,2,,
,1,,,,,3,7,,
,2,,,,,-13,,,
,-3,,2,,,-15,,,
,-2,,,,,-16,,,
,,,,,,-10,,,
,0,,,,,,,,
,,,,-1,,,,,
,,,,,,-1,,,
,0,,,,,-16,,,
,0,,,,,,,,
,,,,,11,,,,
,,,,,15,,,,
,,,,,,,,,
14,15,,1,,,-8,,,
-1,6,,,4,,-1,,,
,6,,,,,-3,-4,,
,3,,,-1,,-5,-1,,
,4,,,,,-2,1,,
,3,,1,,,-1,-1,,
,5,,,,,-5,1,,
,4,,,,15,-6,-1,,
,5,,,-3,,,,,
,7,,,3,,,,,
,6,,,3,,,,,
,3,,1,-3,,,,,
,4,,1,1,,,,,
,2,,,1,,,,,
,4,,,6,,,,,
,1,,,,,,,,
,0,,,-1,,,,,
,1,,,4,,,,,
,0,,,-9,,,-4,,
,1,,,-1,,,-5,,
,-2,,,,,,,,
,0,,,4,,,,,
,1,,,2,,,,,
,0,,,,,,,,
,-1,,,,,,,,
,-1,,,6,,,,,
,-1,,,,,,,,
,1,,,-1,,,,,
,-1,,,,,,,,
,-2,,,,,,,,
,3,,1,-5,,,-7,,
,2,,,-2,,,,,
,0,,,,,,,,
,1,,,,,,,,
,1,,,-3,,,-8,,
,1,,,,,,,,
,2,,,,,,,,
,-1,,,0,,,,,
,0,,2,,,,-1,,
,-1,,,,,,,,
,0,,,,,,,,
,-1,,,,,,,,
,0,,,,2,,,,
,2,,1,,,,,,
,-1,,,,,,,,
,1,,,,,,,,
,-1,,,-6,,,,,
,-2,,,-1,,,,,
,-1,,,-3,,,,,
,1,,,,,,,,
,0,,,,,,,,
,0,,,-1,,,,,
,-2,,,,-1,,,,
,0,,1,,,,,,
,1,,,,,,,,
,1,,,,,,,,
,,,,,,,,,
,0,,,,,,,,
,2,,,-16,,,,,
,2,,,,,,,,
,1,,,,,,,,
,,,,-1,,,,,
,,,1,,,,,,
,,,,,,,,,
14,11,,,9,13,,,,
,2,,0,3,,,,,
,6,,1,,-2,,,,
,4,,1,,,,,,
,5,,4,,,,,,
,2,15,2,,13,,,,
,2,,1,-16,,,,,
,4,,0,3,,,,,
,3,,,-3,,,-1,,
,5,,,-2,,,-1,,
,5,,2,-12,,,-2,,
,1,,2,2,,,,,
,7,,1,-2,,,,,
,3,,2,2,,1,,,
,2,,3,-1,,,1,,
,2,,2,-4,,,,,
,1,11,1,,,15,,,
,2,,2,2,,15,,,
,0,,2,,,12,,,
,3,,1,,,14,,,
,3,,1,,,13,,,
,2,,1,,,12,,,
,3,,1,,,11,,,
,0,,1,10,,12,,,
,1,,0,,15,,,,
,1,,3,2,,1,,,
,1,,2,,,3,,,
,1,14,,,,,,,
,-1,,,,,15,,,
,1,,2,,,8,,,
,0,,1,,,15,,,
,1,,2,,,15,,,
,2,,,,,15,3,,
,0,,,,,15,4,,
,1,,0,,,15,-1,,
,0,,1,,,15,,,
,1,,2,,,15,,,
,-1,,1,-4,,15,,,
,-1,15,,,,15,,,
,-1,,4,15,,15,,,
10,0,,1,-4,15,10,11,,
,1,,1,1,,14,,,
,-1,,,,,7,8,,
,-1,,1,,-16,8,10,,
-2,0,,1,,,13,9,,
,-1,,,-1,,15,7,,
,0,,1,,,15,9,,
,0,,2,-6,,13,14,,
,-2,,3,,,8,,,
,-2,12,,,,15,,,
,0,,1,,,15,,,
,0,,2,,,15,,,
,1,,1,,,,,,
,0,,2,,,,,,
,0,,0,,,,,,
,0,,0,,,2,,,
,0,,2,,,15,,,
,0,,,,,15,,,
,0,,2,,,15,,,
,4,,,,,13,,,
,,13,1,-1,-3,15,,,
,,,6,,,15,,,
,,,1,,,15,,,
,,,2,,,15,,,
15,13,,,,,1,1,,
,1,,0,,,1,1,,
4,3,,2,-1,,1,,,
,2,,0,12,,2,1,,
,3,,3,,,,,,
,3,,0,,,,1,,
,7,,7,,,1,1,,
,4,12,1,15,,,,,
,5,,1,4,,,,,
,5,,1,2,,,,,
,4,,1,-5,,,,,
,3,,1,,,,,,
,1,,1,-14,,,,,
,4,,0,,,,,,
,3,,2,,,,,,
,2,,1,-9,,,,,
,14,,0,,,15,,,
,14,,1,,,14,,,
,-1,13,1,,,15,,,
,0,,5,,,15,,,
,0,,0,-2,,14,,,
,-1,,1,,,13,,,
,15,,-1,,,15,,,
,15,,1,,,15,,,
,-14,,0,,,14,,,
,-16,,1,,,15,,,
